vague,неясний
contagious,заразний
deliberate,навмисний
frankly,чесно кажучи
topple,скинути
horrendous,жахливий
vigilance,пильність
agile,гнучкий
rectify,виправити
threshold,поріг
startled,остовпілий
spawn,нерест
interfere,заважати
vested,законний
stem,стовбур
creek,струмок
abyss,безодня
disavow,відхилити
lump,грудки
cuss,прокляття
Idrather,Ябкраще
quiver,тремтіти
derogatory,зневажливий
adversely,негативно
blemish,вада
infer,робити висновок
dull,nudnyj
ramify,form branches
coincidence,збіг
bummer,ledar
manure,гній
divest,позбавитись
klutz,foolish person
Delinquent ,правопорушник
